dia;mes;qt_acidentes;id_acidente_tip;id_risco
5;2;1;4;1
5;2;1;5;1
5;2;1;126;1
6;2;1;4;1
6;2;1;5;2
6;2;1;127;3
6;2;1;5;1
6;2;1;5;1
7;2;1;5;1
7;2;2;4;1
7;2;1;4;1
7;2;1;4;1
7;2;1;4;1
7;2;1;127;1
7;2;1;11;1
7;2;1;6;1
8;2;1;18;1
8;2;1;124;1
8;2;1;11;1
8;2;1;113;1
8;2;2;5;1
8;2;1;5;1
8;2;1;113;1
8;2;3;11;1
8;2;1;4;1
8;2;1;11;1
8;2;2;4;2
8;2;1;5;1
8;2;1;5;1
9;2;2;11;1
9;2;1;124;1
9;2;2;5;1
9;2;1;126;1
9;2;1;5;1
9;2;2;5;1
9;2;1;5;2
9;2;1;4;1
9;2;3;127;1
9;2;1;5;1
9;2;2;4;1
9;2;1;126;1
9;2;2;4;1
9;2;1;33;1
10;2;1;12;1
10;2;1;4;1
10;2;1;4;1
10;2;1;4;1
10;2;2;127;1
10;2;1;4;1
10;2;1;4;1
10;2;1;18;1
10;2;2;5;1
10;2;1;33;1
11;2;2;4;1
11;2;2;5;1
11;2;1;4;1
11;2;2;4;1
11;2;1;9;2
11;2;1;4;2
11;2;1;18;1
11;2;1;10;1
11;2;1;11;1
11;2;1;5;1
11;2;1;5;1
11;2;2;4;1
12;2;2;4;1
12;2;1;10;1
12;2;1;113;1
12;2;1;18;1
12;2;1;5;1
12;2;1;5;1
12;2;1;5;1
12;2;1;4;1
12;2;1;5;3
12;2;1;4;1
12;2;1;18;2
12;2;1;4;1
13;2;2;5;1
13;2;2;4;1
14;2;1;126;1
14;2;1;4;1
14;2;1;113;1
14;2;1;4;1
14;2;1;5;1
14;2;2;4;1
14;2;1;33;1
14;2;1;4;1
14;2;1;4;1
14;2;2;5;1
14;2;2;4;1
14;2;2;4;1
15;2;2;4;1
15;2;1;124;1
15;2;1;126;1
15;2;2;4;1
15;2;1;127;1
15;2;1;124;1
15;2;1;4;1
15;2;1;12;1
15;2;1;12;1
15;2;2;4;1
15;2;1;33;1
16;2;1;33;1
16;2;1;12;1
16;2;2;4;1
16;2;1;5;1
16;2;3;11;1
16;2;2;33;1
16;2;1;4;1
16;2;1;5;2
16;2;2;4;1
16;2;1;18;1
16;2;1;5;1
16;2;2;5;1
16;2;2;4;1
17;2;1;5;1
17;2;1;5;1
17;2;2;4;1
17;2;1;12;1
17;2;2;124;1
17;2;1;88;1
17;2;1;4;1
18;2;1;126;1
18;2;1;113;1
18;2;2;4;1
18;2;1;4;2
18;2;3;4;1
18;2;1;4;1
18;2;1;4;1
18;2;2;5;1
18;2;1;5;1
18;2;1;4;2
18;2;2;4;1
18;2;1;5;1
18;2;1;11;1
19;2;2;5;1
19;2;1;4;1
19;2;2;4;1
19;2;2;11;3
19;2;1;5;1
19;2;1;5;1
19;2;1;11;1
20;2;1;5;1
20;2;1;8;1
20;2;1;5;1
21;2;1;5;1
21;2;1;5;1
21;2;1;5;1
21;2;1;11;1
21;2;2;5;1
21;2;1;4;1
21;2;1;126;1
21;2;1;5;1
21;2;1;5;1
22;2;1;5;1
22;2;1;33;1
22;2;1;4;1
22;2;2;12;1
22;2;1;18;1
22;2;1;113;1
23;2;2;127;2
23;2;2;4;1
23;2;3;4;1
23;2;1;124;1
23;2;1;5;1
23;2;2;4;1
23;2;1;4;1
23;2;1;11;1
23;2;1;5;1
23;2;4;11;3
23;2;3;127;1
23;2;1;5;1
23;2;1;12;1
23;2;2;5;1
23;2;2;4;1
24;2;1;4;1
24;2;2;4;1
24;2;1;4;1
24;2;1;4;1
24;2;1;5;2
24;2;1;5;1
24;2;1;6;1
24;2;1;126;1
25;2;1;124;1
25;2;2;11;1
25;2;1;88;1
25;2;2;11;2
25;2;1;4;1
25;2;1;88;1
25;2;2;4;1
25;2;1;4;1
25;2;1;6;1
26;2;1;5;1
26;2;1;4;1
26;2;1;4;1
26;2;1;5;1
26;2;1;5;2
26;2;1;5;1
27;2;1;4;1
27;2;1;4;1
27;2;1;4;1
27;2;1;12;1
27;2;2;5;1
27;2;1;124;1
27;2;2;127;1
27;2;1;4;1
28;2;2;5;1
28;2;1;4;1
28;2;1;5;1
28;2;1;12;1
28;2;1;252;2
28;2;1;4;1
28;2;1;11;1
28;2;1;126;1
28;2;1;5;1
28;2;1;4;1
28;2;1;4;1
28;2;1;12;2
28;2;1;18;2
28;2;1;33;1
28;2;1;33;1
28;2;1;33;1
1;3;1;18;1
1;3;2;5;1
1;3;1;5;1
1;3;1;127;1
1;3;1;18;1
1;3;1;5;1
1;3;1;4;1
1;3;1;124;1
1;3;1;12;1
1;3;2;4;1
1;3;1;126;1
1;3;1;11;1
1;3;3;11;1
1;3;2;4;1
1;3;2;4;1
2;3;1;4;1
2;3;1;4;1
2;3;1;126;1
2;3;2;113;1
2;3;2;4;3
2;3;1;5;1
2;3;1;4;1
2;3;1;126;1
2;3;2;124;1
2;3;1;4;1
2;3;1;5;1
2;3;1;11;1
2;3;1;126;1
2;3;1;5;1
2;3;1;124;1
2;3;1;12;1
2;3;1;33;1
3;3;4;11;1
3;3;1;4;1
3;3;1;126;1
3;3;1;4;1
3;3;1;4;1
3;3;1;11;1
3;3;1;5;1
3;3;2;5;1
3;3;1;4;1
3;3;1;12;1
3;3;1;33;1
3;3;1;12;1
3;3;1;113;1
3;3;1;4;1
3;3;1;4;1
4;3;2;11;1
4;3;1;11;2
4;3;1;11;1
4;3;2;11;1
4;3;2;5;1
4;3;1;4;1
4;3;1;5;1
4;3;1;4;1
4;3;1;5;1
4;3;1;4;1
4;3;1;4;1
4;3;1;4;1
4;3;1;5;1
4;3;1;252;1
4;3;1;11;1
4;3;1;252;2
4;3;2;4;1
4;3;1;113;1
5;3;1;8;3
5;3;2;4;1
5;3;1;5;1
5;3;1;4;1
5;3;1;5;1
5;3;1;5;1
5;3;1;127;3
5;3;1;4;1
6;3;2;4;1
6;3;1;11;1
6;3;1;126;2
6;3;1;5;1
7;3;2;11;2
7;3;1;4;1
7;3;1;18;1
8;3;1;4;1
9;3;1;113;1
9;3;1;4;1
9;3;1;18;1
9;3;2;18;1
9;3;1;113;1
10;3;1;108;3
10;3;1;5;1
10;3;2;4;1
10;3;2;5;1
10;3;1;4;1
10;3;1;4;1
10;3;3;11;1
10;3;1;5;1
10;3;1;5;1
10;3;1;33;1
11;3;1;11;1
11;3;3;11;1
11;3;1;5;1
11;3;1;11;1
11;3;1;186;1
11;3;1;4;1
11;3;2;4;2
11;3;2;4;1
12;3;1;124;1
12;3;1;4;1
12;3;1;5;1
12;3;1;18;1
12;3;2;5;1
12;3;1;4;1
13;3;1;252;2
13;3;1;5;1
13;3;1;12;1
13;3;1;4;1
13;3;2;4;1
14;3;1;113;1
14;3;1;12;1
14;3;2;4;1
14;3;2;11;1
14;3;1;124;1
14;3;2;4;1
15;3;1;113;1
15;3;1;127;1
15;3;1;251;2
15;3;1;4;1
15;3;2;11;1
15;3;1;5;1
15;3;1;113;1
15;3;1;4;1
15;3;1;12;1
15;3;2;4;1
15;3;1;12;1
15;3;2;4;1
15;3;1;5;1
16;3;1;18;1
16;3;1;10;1
16;3;1;127;1
16;3;1;5;1
16;3;1;4;1
16;3;2;4;1
16;3;1;12;2
16;3;2;4;1
17;3;1;12;1
17;3;2;5;1
17;3;1;4;1
17;3;1;4;1
17;3;1;5;1
17;3;1;5;1
17;3;1;11;1
17;3;1;5;1
17;3;1;4;1
17;3;2;4;1
17;3;1;5;1
18;3;2;4;1
18;3;2;11;1
18;3;1;11;1
18;3;1;4;1
18;3;1;5;1
18;3;2;4;1
18;3;1;124;1
18;3;1;127;3
18;3;1;11;1
18;3;1;5;1
18;3;1;4;1
19;3;2;11;1
19;3;2;5;1
19;3;1;5;3
19;3;1;4;1
19;3;1;124;2
19;3;1;5;1
19;3;2;33;1
20;3;1;4;1
20;3;1;5;1
20;3;1;4;1
20;3;1;5;1
21;3;1;127;2
21;3;1;252;1
21;3;1;8;3
21;3;1;113;1
21;3;1;4;1
21;3;2;4;1
21;3;1;5;1
21;3;1;8;3
21;3;1;5;1
21;3;2;4;1
21;3;2;4;1
21;3;1;124;1
22;3;1;5;1
22;3;1;5;1
22;3;2;11;3
22;3;2;4;1
22;3;2;4;1
22;3;1;4;1
22;3;2;4;1
22;3;1;5;1
22;3;1;4;1
22;3;1;113;1
22;3;1;5;1
22;3;5;11;3
22;3;1;88;1
22;3;1;127;1
23;3;1;11;1
23;3;1;4;1
23;3;2;4;1
23;3;2;4;1
23;3;3;124;1
23;3;1;4;1
23;3;1;5;1
23;3;1;18;1
23;3;2;127;1
23;3;2;5;1
23;3;2;4;1
24;3;1;12;1
24;3;2;4;1
24;3;1;33;1
24;3;2;4;1
24;3;2;4;1
24;3;2;4;1
24;3;1;4;1
24;3;1;33;1
24;3;1;11;1
24;3;1;4;1
24;3;1;4;1
24;3;1;5;1
24;3;2;4;1
24;3;1;5;1
24;3;1;126;1
24;3;2;4;1
24;3;2;5;1
25;3;1;4;1
25;3;1;12;1
25;3;1;4;1
25;3;1;4;1
25;3;1;5;1
25;3;1;5;1
25;3;1;4;1
25;3;1;4;1
25;3;1;113;1
25;3;1;5;1
25;3;1;18;1
25;3;1;4;1
25;3;1;4;1
25;3;1;124;1
25;3;1;5;1
25;3;1;5;1
25;3;1;113;1
25;3;2;4;1
26;3;1;4;2
26;3;2;127;1
26;3;1;12;1
26;3;2;4;2
27;3;1;113;1
27;3;1;5;1
27;3;1;113;1
27;3;1;126;2
28;3;2;4;1
28;3;1;4;1
28;3;1;18;1
28;3;1;5;1
28;3;1;4;1
28;3;2;11;1
28;3;1;6;1
28;3;1;12;1
28;3;2;4;1
28;3;2;4;1
28;3;1;113;1
28;3;1;4;1
28;3;1;4;1
28;3;2;4;1
28;3;2;18;1
28;3;2;4;1
29;3;1;4;1
29;3;2;4;1
29;3;3;11;3
29;3;2;4;2
29;3;1;4;1
29;3;1;5;1
29;3;2;4;1
29;3;1;4;1
29;3;1;5;1
29;3;1;4;1
29;3;1;5;1
29;3;1;186;2
29;3;1;12;1
29;3;1;186;1
29;3;2;33;1
29;3;3;10;1
29;3;1;4;1
30;3;1;4;1
30;3;1;126;2
30;3;1;11;1
30;3;1;5;1
30;3;1;5;1
30;3;1;5;1
30;3;1;4;1
30;3;1;5;1
30;3;1;5;1
30;3;1;4;1
30;3;1;5;1
30;3;1;33;1
30;3;1;4;1
30;3;1;124;1
30;3;1;4;1
31;3;1;126;2
31;3;2;11;1
31;3;1;11;1
31;3;2;4;1
31;3;1;4;1
31;3;2;5;1
31;3;1;7;2
31;3;2;4;1
31;3;1;5;1
31;3;1;4;1
31;3;1;4;1
31;3;1;11;1
31;3;1;126;1
31;3;1;4;1
31;3;1;33;1
31;3;1;5;1
31;3;2;126;2
1;4;1;4;1
1;4;1;5;1
1;4;1;5;1
1;4;1;5;1
1;4;1;126;1
1;4;3;11;1
1;4;1;113;1
1;4;1;18;1
1;4;1;252;1
1;4;1;126;1
1;4;1;4;1
1;4;1;4;1
1;4;1;33;1
1;4;2;4;1
2;4;1;4;1
2;4;1;126;1
2;4;1;4;1
2;4;1;4;1
2;4;1;124;1
2;4;1;126;1
2;4;1;124;1
2;4;1;18;1
2;4;1;11;1
2;4;2;4;1
3;4;1;4;1
3;4;1;5;1
3;4;1;11;2
3;4;1;4;1
3;4;1;4;1
3;4;1;11;1
3;4;1;5;1
3;4;1;126;1
4;4;1;10;1
4;4;1;5;1
4;4;1;12;1
4;4;1;4;1
4;4;1;33;1
4;4;1;252;3
4;4;1;113;1
4;4;1;126;1
4;4;1;4;1
5;4;1;251;2
5;4;1;33;1
5;4;1;113;1
5;4;1;4;1
5;4;2;4;1
5;4;1;8;1
5;4;1;124;1
5;4;1;4;1
5;4;1;4;1
5;4;1;4;1
5;4;1;5;1
5;4;2;4;1
5;4;1;186;1
5;4;1;11;1
5;4;1;124;1
6;4;2;4;1
6;4;1;4;1
6;4;1;11;1
6;4;2;11;1
6;4;1;126;1
6;4;1;5;1
6;4;1;5;1
6;4;2;4;1
6;4;1;18;1
6;4;1;113;1
7;4;1;127;1
7;4;2;4;2
7;4;1;5;1
7;4;1;4;1
7;4;2;5;1
7;4;1;18;2
7;4;1;18;1
8;4;1;4;1
8;4;2;4;1
8;4;1;126;1
8;4;1;33;1
8;4;2;113;1
8;4;1;5;1
8;4;1;4;1
8;4;1;4;1
8;4;1;5;1
8;4;1;124;3
8;4;1;4;1
8;4;1;4;1
8;4;1;11;1
8;4;1;12;1
8;4;1;5;1
9;4;2;4;1
9;4;1;4;1
9;4;1;113;1
9;4;2;5;1
9;4;1;4;1
9;4;1;5;1
9;4;1;12;1
9;4;1;4;1
9;4;1;5;1
9;4;1;4;1
10;4;1;11;1
10;4;1;4;1
10;4;1;113;1
10;4;2;11;1
10;4;1;18;1
10;4;1;126;1
10;4;1;4;1
10;4;2;4;1
11;4;2;11;1
11;4;1;12;1
11;4;2;4;1
11;4;1;4;1
11;4;1;4;1
11;4;1;124;1
11;4;1;5;1
11;4;2;5;1
11;4;1;11;2
11;4;1;4;1
11;4;1;5;1
12;4;1;5;1
12;4;1;4;1
12;4;2;126;2
12;4;1;5;1
12;4;1;5;1
12;4;1;124;1
12;4;1;126;1
12;4;1;5;1
12;4;1;10;1
12;4;1;5;1
12;4;1;4;1
13;4;2;4;2
13;4;1;11;1
13;4;1;4;1
13;4;1;11;1
13;4;1;4;1
13;4;1;5;1
13;4;1;6;1
13;4;1;4;1
13;4;1;5;1
13;4;1;126;1
13;4;2;4;1
13;4;1;113;1
14;4;1;113;1
14;4;1;5;1
14;4;1;11;1
14;4;1;4;1
14;4;2;113;1
14;4;1;4;1
14;4;1;251;3
14;4;1;113;1
15;4;1;5;1
15;4;1;12;1
15;4;1;4;1
15;4;1;4;1
15;4;2;4;1
15;4;1;5;1
15;4;1;11;1
15;4;1;4;1
15;4;1;5;1
15;4;1;12;1
15;4;1;33;1
16;4;1;4;1
16;4;1;5;1
16;4;1;127;1
16;4;1;5;1
16;4;1;251;3
16;4;1;4;1
17;4;1;252;1
17;4;1;5;1
17;4;1;5;1
17;4;1;4;2
17;4;1;5;1
17;4;1;5;1
18;4;1;4;1
18;4;1;4;1
18;4;3;5;1
18;4;1;5;1
18;4;1;33;1
18;4;1;4;1
18;4;1;4;1
18;4;1;4;1
18;4;1;4;2
18;4;1;5;1
18;4;2;11;1
18;4;1;5;1
18;4;1;5;1
18;4;1;18;1
19;4;1;33;1
19;4;1;5;1
19;4;2;4;1
19;4;1;113;1
19;4;2;4;2
19;4;2;5;1
19;4;2;11;1
19;4;1;5;1
19;4;1;4;1
19;4;2;11;1
19;4;1;5;1
19;4;1;5;1
19;4;1;5;1
19;4;1;5;1
20;4;3;11;1
20;4;1;5;1
20;4;1;4;1
20;4;1;5;1
20;4;1;5;1
20;4;1;11;1
20;4;1;4;1
20;4;2;4;1
20;4;2;5;2
20;4;2;33;1
20;4;1;11;1
20;4;1;11;2
20;4;1;5;1
20;4;1;5;1
20;4;1;5;1
20;4;2;127;1
20;4;1;5;1
21;4;1;4;2
21;4;1;4;1
21;4;1;5;1
21;4;1;4;1
21;4;1;12;1
21;4;1;4;1
21;4;1;11;1
21;4;1;4;1
21;4;1;113;1
22;4;1;5;1
22;4;1;4;2
22;4;1;4;1
22;4;1;4;2
23;4;1;11;1
24;4;1;33;1
24;4;1;4;1
25;4;1;127;1
25;4;2;4;1
25;4;1;124;1
25;4;1;4;1
25;4;1;12;1
25;4;1;12;1
25;4;1;5;1
25;4;1;4;1
26;4;1;4;1
26;4;1;113;1
26;4;1;4;1
26;4;2;5;1
26;4;1;4;1
26;4;1;4;1
26;4;1;18;1
26;4;2;5;1
26;4;1;4;1
26;4;1;4;1
26;4;1;4;1
27;4;1;12;1
27;4;1;4;1
27;4;1;4;1
27;4;1;252;1
27;4;1;4;1
27;4;1;5;1
27;4;2;4;1
27;4;2;4;1
27;4;2;33;1
28;4;1;5;1
28;4;1;10;1
28;4;1;5;1
28;4;2;5;1
28;4;1;4;1
28;4;1;5;1
28;4;1;5;1
28;4;2;4;2
28;4;2;4;1
28;4;1;126;1
29;4;1;18;2
29;4;1;4;1
29;4;1;18;2
29;4;1;12;1
29;4;1;5;1
29;4;2;5;1
29;4;2;11;1
29;4;1;5;1
29;4;2;5;1
29;4;1;5;1
29;4;1;5;1
29;4;1;12;1
29;4;1;33;1
29;4;1;88;1
29;4;1;18;2
29;4;1;126;1
29;4;1;4;1
29;4;1;4;1
29;4;4;11;2
29;4;1;12;1
30;4;1;33;1
30;4;1;11;1
30;4;2;126;3
30;4;1;5;1
1;5;1;5;1
1;5;1;126;1
1;5;1;5;1
1;5;1;12;1
2;5;2;4;1
2;5;1;4;1
2;5;1;4;1
2;5;1;5;1
2;5;1;4;3
2;5;2;127;3
2;5;1;4;1
3;5;1;126;1
3;5;2;126;1
3;5;3;4;1
3;5;1;12;1
3;5;2;5;1
3;5;1;5;1
3;5;2;4;1
3;5;1;33;1
3;5;1;113;1
3;5;2;3;1
3;5;1;4;1
3;5;1;5;2
3;5;2;4;1
3;5;1;4;1
3;5;1;4;1
4;5;1;5;1
4;5;1;18;1
4;5;1;18;3
4;5;1;126;1
4;5;1;5;1
4;5;1;4;1
4;5;1;4;1
4;5;1;5;1
4;5;2;124;1
4;5;1;33;1
4;5;1;126;1
5;5;1;4;1
5;5;1;4;1
5;5;1;8;2
5;5;1;5;1
5;5;2;4;1
5;5;1;4;1
5;5;1;11;1
5;5;1;88;1
5;5;1;8;3
5;5;1;5;1
5;5;1;12;1
5;5;1;126;1
6;5;1;5;1
6;5;1;4;1
6;5;1;5;1
6;5;2;4;1
6;5;1;4;1
6;5;1;5;1
6;5;1;5;1
6;5;1;5;1
6;5;1;4;1
6;5;1;5;1
6;5;1;4;1
6;5;1;11;1
6;5;2;4;1
6;5;1;18;1
6;5;2;5;1
7;5;1;126;1
7;5;1;12;1
7;5;1;5;1
7;5;1;5;1
8;5;1;4;2
8;5;1;5;1
8;5;1;5;1
8;5;2;5;1
9;5;1;126;2
9;5;3;4;1
9;5;1;4;1
9;5;1;5;1
9;5;1;4;1
9;5;2;4;1
9;5;2;4;1
9;5;1;5;1
9;5;1;33;1
9;5;1;4;1
10;5;1;124;1
10;5;1;18;1
10;5;1;4;1
10;5;1;4;1
10;5;1;11;1
10;5;1;5;1
10;5;1;186;1
10;5;1;33;1
10;5;1;126;1
11;5;1;113;1
11;5;1;4;1
11;5;1;5;1
11;5;1;5;1
11;5;1;5;1
11;5;1;4;1
11;5;1;18;1
11;5;1;33;1
11;5;1;5;1
11;5;1;113;1
12;5;1;113;1
12;5;1;5;1
12;5;1;113;1
12;5;1;8;1
12;5;1;127;2
12;5;1;33;1
12;5;1;113;1
12;5;1;4;1
13;5;1;124;1
13;5;1;18;2
13;5;2;4;1
13;5;1;11;1
13;5;1;252;1
13;5;1;5;1
13;5;1;127;1
13;5;2;10;1
13;5;1;18;1
13;5;1;4;1
14;5;1;18;1
14;5;2;4;1
14;5;1;5;1
14;5;1;5;1
14;5;1;4;1
14;5;1;126;1
14;5;2;4;1
14;5;1;11;1
14;5;1;4;1
14;5;1;12;1
15;5;1;5;1
15;5;1;5;1
15;5;1;11;1
15;5;2;11;1
15;5;2;4;1
15;5;1;7;1
15;5;1;12;1
15;5;2;4;1
16;5;1;4;2
16;5;1;5;1
16;5;1;11;1
16;5;1;4;1
16;5;1;4;1
16;5;1;12;1
16;5;1;4;1
16;5;1;5;1
16;5;1;4;2
16;5;1;4;1
16;5;2;5;1
16;5;3;11;3
17;5;1;4;1
17;5;1;5;1
17;5;1;5;1
17;5;1;4;1
17;5;1;4;1
17;5;1;5;1
17;5;1;126;1
18;5;1;88;1
18;5;1;5;1
18;5;2;11;1
18;5;1;4;1
18;5;1;4;1
18;5;1;5;1
18;5;2;4;1
18;5;1;4;2
18;5;2;11;1
18;5;1;4;1
18;5;1;18;1
18;5;2;4;1
18;5;1;33;1
18;5;1;4;1
18;5;2;5;1
19;5;2;5;1
19;5;1;11;1
19;5;1;5;1
19;5;2;11;1
19;5;1;5;1
19;5;1;4;1
19;5;1;5;1
19;5;1;5;1
19;5;1;5;1
19;5;2;4;1
19;5;1;5;1
19;5;1;5;1
20;5;1;10;1
20;5;1;6;1
20;5;2;11;1
20;5;1;4;1
20;5;1;5;1
20;5;1;33;1
20;5;1;10;1
20;5;2;11;1
20;5;2;33;1
21;5;1;18;2
21;5;2;127;1
21;5;2;5;1
21;5;1;5;1
21;5;2;11;2
22;5;1;5;1
22;5;1;5;1
22;5;1;4;1
22;5;1;127;1
22;5;1;5;1
22;5;1;4;1
23;5;2;11;1
23;5;1;113;1
23;5;1;5;1
23;5;1;11;1
23;5;1;4;1
23;5;2;127;1
23;5;1;4;1
23;5;1;5;1
23;5;2;5;1
23;5;1;4;1
23;5;1;5;1
23;5;5;11;2
23;5;2;5;1
24;5;1;11;1
24;5;1;4;1
24;5;2;4;1
24;5;2;11;1
24;5;1;4;2
24;5;1;5;1
24;5;1;5;1
24;5;2;5;1
24;5;1;5;1
25;5;3;11;2
25;5;1;5;1
25;5;1;11;1
25;5;1;5;1
25;5;1;18;1
25;5;1;11;1
25;5;1;5;1
25;5;1;5;1
25;5;2;4;1
25;5;1;33;1
25;5;1;4;1
26;5;1;186;2
26;5;2;5;1
26;5;2;4;1
26;5;1;6;1
26;5;1;5;1
26;5;1;4;1
26;5;1;5;1
26;5;3;11;1
26;5;1;4;1
26;5;1;5;1
26;5;1;33;1
27;5;2;4;1
27;5;1;5;1
27;5;1;5;1
27;5;1;5;1
27;5;1;4;1
27;5;1;5;1
27;5;1;4;1
27;5;1;4;1
27;5;1;5;1
27;5;1;11;1
27;5;1;5;1
28;5;1;4;1
28;5;1;5;1
28;5;1;4;2
28;5;1;4;1
28;5;1;5;1
28;5;1;5;1
28;5;1;4;1
29;5;1;5;1
29;5;1;4;1
29;5;1;4;1
29;5;2;5;1
29;5;1;5;1
29;5;1;5;1
29;5;1;5;1
29;5;1;5;1
29;5;1;4;1
29;5;1;126;1
30;5;2;4;1
30;5;1;252;1
30;5;1;4;1
30;5;1;5;1
30;5;2;5;1
30;5;1;4;1
30;5;1;126;1
30;5;2;126;1
31;5;2;4;1
31;5;1;113;1
31;5;1;4;1
31;5;1;12;1
31;5;1;33;1
31;5;1;4;1
31;5;1;126;1
31;5;1;12;1
31;5;1;9;1
31;5;1;126;1
31;5;1;5;1
31;5;1;5;1
31;5;1;5;1
1;6;2;4;1
1;6;1;4;1
1;6;2;126;1
1;6;1;5;1
1;6;1;5;1
1;6;2;4;1
1;6;1;5;3
1;6;1;4;1
1;6;1;4;1
1;6;1;11;1
1;6;2;5;1
1;6;1;4;1
2;6;1;4;1
2;6;1;252;1
2;6;1;4;1
2;6;1;4;1
2;6;2;4;1
2;6;1;5;1
2;6;1;12;1
2;6;1;9;2
2;6;1;4;1
2;6;1;33;1
2;6;1;186;1
2;6;1;33;1
2;6;1;5;1
2;6;1;126;1
2;6;1;4;1
2;6;2;4;1
2;6;1;5;1
2;6;1;5;1
2;6;2;5;1
3;6;1;4;1
3;6;2;11;2
3;6;1;4;1
3;6;1;5;1
3;6;1;127;1
3;6;1;4;1
3;6;1;5;1
3;6;1;12;1
3;6;1;5;1
3;6;1;11;1
3;6;2;11;1
3;6;2;4;1
3;6;1;6;1
3;6;2;11;1
3;6;1;11;1
3;6;1;5;1
3;6;1;4;1
3;6;1;126;1
4;6;1;5;1
4;6;2;4;1
4;6;1;5;1
4;6;1;5;1
4;6;1;5;1
4;6;1;4;1
4;6;1;126;1
4;6;1;4;1
4;6;2;4;1
5;6;1;5;1
5;6;2;11;1
6;6;1;4;1
6;6;1;9;1
6;6;1;6;1
6;6;1;4;1
6;6;1;4;1
6;6;1;5;1
6;6;1;4;1
6;6;1;5;1
6;6;1;5;1
6;6;1;4;1
6;6;2;4;1
6;6;1;5;1
6;6;1;5;1
6;6;3;11;2
6;6;1;4;1
6;6;3;11;1
6;6;1;5;1
6;6;2;4;1
6;6;1;18;2
6;6;1;18;1
6;6;1;5;1
6;6;1;33;1
7;6;2;5;1
7;6;2;4;1
7;6;2;4;1
7;6;1;33;1
7;6;1;5;1
7;6;1;5;1
7;6;1;5;1
7;6;2;4;1
7;6;1;11;1
7;6;1;5;1
7;6;1;126;1
7;6;1;4;1
7;6;1;5;1
7;6;1;5;1
7;6;1;5;1
7;6;1;4;1
7;6;1;126;1
7;6;1;5;1
7;6;1;11;1
7;6;1;186;1
7;6;1;12;1
8;6;1;4;1
8;6;1;5;1
8;6;1;5;1
8;6;2;11;1
8;6;1;5;1
8;6;1;5;1
8;6;1;5;1
8;6;1;5;1
8;6;1;126;1
8;6;1;126;1
8;6;1;5;2
8;6;1;4;1
8;6;1;4;1
8;6;2;5;1
8;6;2;5;1
9;6;1;11;1
9;6;1;8;1
9;6;1;5;1
9;6;1;126;1
9;6;1;4;1
9;6;1;5;1
9;6;1;11;1
9;6;1;126;1
9;6;1;5;1
9;6;1;5;1
9;6;1;12;1
9;6;1;5;1
9;6;1;4;1
10;6;2;4;1
10;6;1;5;1
10;6;1;88;1
10;6;1;5;1
10;6;1;4;1
10;6;3;11;1
10;6;1;4;1
10;6;1;127;1
10;6;1;4;1
10;6;1;18;1
10;6;2;4;1
10;6;1;4;1
10;6;2;11;1
10;6;2;5;1
10;6;1;5;1
10;6;2;4;1
11;6;1;33;1
11;6;1;33;1
11;6;1;5;1
11;6;2;127;1
11;6;1;5;1
11;6;1;186;1
11;6;2;4;1
12;6;1;4;1
12;6;1;5;1
12;6;1;18;1
12;6;1;126;1
12;6;1;5;1
12;6;1;33;1
12;6;1;4;1
12;6;1;12;1
12;6;1;5;1
13;6;2;10;1
13;6;2;5;1
13;6;2;4;1
13;6;1;5;1
13;6;1;5;1
13;6;1;5;1
13;6;1;186;1
13;6;1;5;1
13;6;1;113;1
13;6;1;113;1
13;6;1;127;1
13;6;1;18;1
13;6;2;5;1
14;6;1;126;1
14;6;2;4;1
14;6;1;5;1
14;6;1;11;1
14;6;1;12;1
14;6;1;5;1
14;6;2;4;1
14;6;1;4;1
14;6;1;127;2
14;6;1;9;3
14;6;1;4;1
14;6;1;4;1
14;6;1;4;1
14;6;2;5;1
14;6;2;5;1
15;6;1;12;1
15;6;1;4;2
15;6;1;124;1
15;6;1;5;1
15;6;1;5;1
15;6;2;127;1
15;6;1;33;1
15;6;1;33;1
15;6;2;4;1
15;6;1;5;1
15;6;2;4;1
16;6;2;4;1
16;6;1;11;2
16;6;1;4;1
16;6;2;11;1
16;6;2;4;1
16;6;1;5;1
16;6;1;4;1
16;6;2;4;1
16;6;1;4;1
16;6;1;5;1
16;6;1;5;1
16;6;2;5;1
16;6;1;5;1
17;6;1;4;1
17;6;1;11;1
17;6;1;4;1
17;6;1;4;2
17;6;2;4;1
17;6;1;12;1
17;6;2;4;1
18;6;1;12;1
18;6;1;4;1
18;6;1;113;1
18;6;1;5;1
18;6;1;127;2
18;6;1;4;1
18;6;1;9;1
18;6;1;4;1
18;6;1;4;1
19;6;1;186;1
19;6;1;4;1
19;6;1;5;1
19;6;1;5;1
19;6;1;252;1
19;6;1;5;1
19;6;1;113;2
20;6;1;124;1
20;6;1;5;1
20;6;1;4;1
20;6;1;11;1
20;6;1;12;1
20;6;2;5;1
20;6;1;11;1
20;6;1;4;1
20;6;1;12;1
20;6;2;11;2
20;6;1;124;2
20;6;1;4;1
21;6;1;33;1
21;6;1;5;1
21;6;1;4;1
21;6;1;5;1
21;6;1;18;1
21;6;1;5;1
21;6;1;4;1
21;6;2;5;1
21;6;1;5;1
21;6;1;11;1
21;6;1;5;1
21;6;1;33;1
21;6;2;11;1
21;6;1;5;1
21;6;2;4;1
